コマンド名,ID,a_kp,a_ki,a_kd,relativeTargetAngle
RelativeRotation,-261,1.5,2.5,0.0,-261.0
RelativeRotation,-260,1.5,2.5,0.0,-260.0
RelativeRotation,-259,1.5,2.5,0.0,-259.0
RelativeRotation,-258,1.5,2.5,0.0,-258.0
RelativeRotation,-257,1.5,2.5,0.0,-257.0
RelativeRotation,-256,1.5,2.5,0.0,-256.0
RelativeRotation,-255,1.5,2.5,0.0,-255.0
RelativeRotation,-254,1.5,2.5,0.0,-254.0
RelativeRotation,-253,1.5,2.5,0.0,-253.0
RelativeRotation,-252,1.5,2.5,0.0,-252.0
RelativeRotation,-251,1.5,2.5,0.0,-251.0
RelativeRotation,-250,1.5,2.5,0.0,-250.0
RelativeRotation,-249,1.5,2.5,0.0,-249.0
RelativeRotation,-248,1.5,2.5,0.0,-248.0
RelativeRotation,-247,1.5,2.5,0.0,-247.0
RelativeRotation,-246,1.5,2.5,0.0,-246.0
RelativeRotation,-245,1.5,2.5,0.0,-245.0
RelativeRotation,-244,1.5,2.5,0.0,-244.0
RelativeRotation,-243,1.5,2.5,0.0,-243.0
RelativeRotation,-242,1.5,2.5,0.0,-242.0
RelativeRotation,-241,1.5,2.5,0.0,-241.0
RelativeRotation,-240,1.5,2.5,0.0,-240.0
RelativeRotation,-239,1.5,2.5,0.0,-239.0
RelativeRotation,-238,1.5,2.5,0.0,-238.0
RelativeRotation,-237,1.5,2.5,0.0,-237.0
RelativeRotation,-236,1.5,2.5,0.0,-236.0
RelativeRotation,-235,1.5,2.5,0.0,-235.0
RelativeRotation,-234,1.5,2.5,0.0,-234.0
RelativeRotation,-233,1.5,2.5,0.0,-233.0
RelativeRotation,-232,1.5,2.5,0.0,-232.0
RelativeRotation,-231,1.5,2.5,0.0,-231.0
RelativeRotation,-230,1.5,2.5,0.0,-230.0
RelativeRotation,-229,1.5,2.5,0.0,-229.0
RelativeRotation,-228,1.5,2.5,0.0,-228.0
RelativeRotation,-227,1.5,2.5,0.0,-227.0
RelativeRotation,-226,1.5,2.5,0.0,-226.0
RelativeRotation,-225,1.5,2.5,0.0,-225.0
RelativeRotation,-224,1.5,2.5,0.0,-224.0
RelativeRotation,-223,1.5,2.5,0.0,-223.0
RelativeRotation,-222,1.5,2.5,0.0,-222.0
RelativeRotation,-221,1.5,2.5,0.0,-221.0
RelativeRotation,-220,1.5,2.5,0.0,-220.0
RelativeRotation,-219,1.5,2.5,0.0,-219.0
RelativeRotation,-218,1.5,2.5,0.0,-218.0
RelativeRotation,-217,1.5,2.5,0.0,-217.0
RelativeRotation,-216,1.5,2.5,0.0,-216.0
RelativeRotation,-215,1.5,2.5,0.0,-215.0
RelativeRotation,-214,1.5,2.5,0.0,-214.0
RelativeRotation,-213,1.5,2.5,0.0,-213.0
RelativeRotation,-212,1.5,2.5,0.0,-212.0
RelativeRotation,-211,1.5,2.5,0.0,-211.0
RelativeRotation,-210,1.5,2.5,0.0,-210.0
RelativeRotation,-209,1.5,2.5,0.0,-209.0
RelativeRotation,-208,1.5,2.5,0.0,-208.0
RelativeRotation,-207,1.5,2.5,0.0,-207.0
RelativeRotation,-206,1.5,2.5,0.0,-206.0
RelativeRotation,-205,1.5,2.5,0.0,-205.0
RelativeRotation,-204,1.5,2.5,0.0,-204.0
RelativeRotation,-203,1.5,2.5,0.0,-203.0
RelativeRotation,-202,1.5,2.5,0.0,-202.0
RelativeRotation,-201,1.5,2.5,0.0,-201.0
RelativeRotation,-200,1.5,2.5,0.0,-200.0
RelativeRotation,-199,1.5,2.5,0.0,-199.0
RelativeRotation,-198,1.5,2.5,0.0,-198.0
RelativeRotation,-197,1.5,2.5,0.0,-197.0
RelativeRotation,-196,1.5,2.5,0.0,-196.0
RelativeRotation,-195,1.5,2.5,0.0,-195.0
RelativeRotation,-194,1.5,2.5,0.0,-194.0
RelativeRotation,-193,1.5,2.5,0.0,-193.0
RelativeRotation,-192,1.5,2.5,0.0,-192.0
RelativeRotation,-191,1.5,2.5,0.0,-191.0
RelativeRotation,-190,1.5,2.5,0.0,-190.0
RelativeRotation,-189,1.5,2.5,0.0,-189.0
RelativeRotation,-188,1.5,2.5,0.0,-188.0
RelativeRotation,-187,1.5,2.5,0.0,-187.0
RelativeRotation,-186,1.5,2.5,0.0,-186.0
RelativeRotation,-185,1.5,2.5,0.0,-185.0
RelativeRotation,-184,1.5,2.5,0.0,-184.0
RelativeRotation,-183,1.5,2.5,0.0,-183.0
RelativeRotation,-182,1.5,2.5,0.0,-182.0
RelativeRotation,-181,1.5,2.5,0.0,-181.0
RelativeRotation,-180,1.5,2.5,0.0,-180.0
RelativeRotation,-179,1.5,2.5,0.0,-179.0
RelativeRotation,-178,1.5,2.5,0.0,-178.0
RelativeRotation,-177,1.5,2.5,0.0,-177.0
RelativeRotation,-176,1.5,2.5,0.0,-176.0
RelativeRotation,-175,1.5,2.5,0.0,-175.0
RelativeRotation,-174,1.5,2.5,0.0,-174.0
RelativeRotation,-173,1.5,2.5,0.0,-173.0
RelativeRotation,-172,1.5,2.5,0.0,-172.0
RelativeRotation,-171,1.5,2.5,0.0,-171.0
RelativeRotation,-170,1.5,2.5,0.0,-170.0
RelativeRotation,-169,1.5,2.5,0.0,-169.0
RelativeRotation,-168,1.5,2.5,0.0,-168.0
RelativeRotation,-167,1.5,2.5,0.0,-167.0
RelativeRotation,-166,1.5,2.5,0.0,-166.0
RelativeRotation,-165,1.5,2.5,0.0,-165.0
RelativeRotation,-164,1.5,2.5,0.0,-164.0
RelativeRotation,-163,1.5,2.5,0.0,-163.0
RelativeRotation,-162,1.5,2.5,0.0,-162.0
RelativeRotation,-161,1.5,2.5,0.0,-161.0
RelativeRotation,-160,1.5,2.5,0.0,-160.0
RelativeRotation,-159,1.5,2.5,0.0,-159.0
RelativeRotation,-158,1.5,2.5,0.0,-158.0
RelativeRotation,-157,1.5,2.5,0.0,-157.0
RelativeRotation,-156,1.5,2.5,0.0,-156.0
RelativeRotation,-155,1.5,2.5,0.0,-155.0
RelativeRotation,-154,1.5,2.5,0.0,-154.0
RelativeRotation,-153,1.5,2.5,0.0,-153.0
RelativeRotation,-152,1.5,2.5,0.0,-152.0
RelativeRotation,-151,1.5,2.5,0.0,-151.0
RelativeRotation,-150,1.5,2.5,0.0,-150.0
RelativeRotation,-149,1.5,2.5,0.0,-149.0
RelativeRotation,-148,1.5,2.5,0.0,-148.0
RelativeRotation,-147,1.5,2.5,0.0,-147.0
RelativeRotation,-146,1.5,2.5,0.0,-146.0
RelativeRotation,-145,1.5,2.5,0.0,-145.0
RelativeRotation,-144,1.5,2.5,0.0,-144.0
RelativeRotation,-143,1.5,2.5,0.0,-143.0
RelativeRotation,-142,1.5,2.5,0.0,-142.0
RelativeRotation,-141,1.5,2.5,0.0,-141.0
RelativeRotation,-140,0.5,0.5,0.0,-140.0
RelativeRotation,-139,1.5,2.5,0.0,-139.0
RelativeRotation,-138,1.5,2.5,0.0,-138.0
RelativeRotation,-137,1.5,2.5,0.0,-137.0
RelativeRotation,-136,1.5,2.5,0.0,-136.0
RelativeRotation,-135,1.5,2.5,0.0,-135.0
RelativeRotation,-134,1.5,2.5,0.0,-134.0
RelativeRotation,-133,1.5,2.5,0.0,-133.0
RelativeRotation,-132,1.5,2.5,0.0,-132.0
RelativeRotation,-131,1.5,2.5,0.0,-131.0
RelativeRotation,-130,0.03,0.5,0.0,-130.0
RelativeRotation,-129,1.5,2.5,0.0,-129.0
RelativeRotation,-128,1.5,2.5,0.0,-128.0
RelativeRotation,-127,1.5,2.5,0.0,-127.0
RelativeRotation,-126,1.5,2.5,0.0,-126.0
RelativeRotation,-125,1.5,2.5,0.0,-125.0
RelativeRotation,-124,1.5,2.5,0.0,-124.0
RelativeRotation,-123,1.5,2.5,0.0,-123.0
RelativeRotation,-122,1.5,2.5,0.0,-122.0
RelativeRotation,-121,1.5,2.5,0.0,-121.0
RelativeRotation,-120,0.03,0.5,0.0,-120.0
RelativeRotation,-119,1.5,2.5,0.0,-119.0
RelativeRotation,-118,1.5,2.5,0.0,-118.0
RelativeRotation,-117,1.5,2.5,0.0,-117.0
RelativeRotation,-116,1.5,2.5,0.0,-116.0
RelativeRotation,-115,1.5,2.5,0.0,-115.0
RelativeRotation,-114,1.5,2.5,0.0,-114.0
RelativeRotation,-113,1.5,2.5,0.0,-113.0
RelativeRotation,-112,1.5,2.5,0.0,-112.0
RelativeRotation,-111,1.5,2.5,0.0,-111.0
RelativeRotation,-110,1.5,2.5,0.5,-110.0
RelativeRotation,-109,1.5,2.5,0.0,-109.0
RelativeRotation,-108,1.5,2.5,0.0,-108.0
RelativeRotation,-107,1.5,2.5,0.0,-107.0
RelativeRotation,-106,1.5,2.5,0.0,-106.0
RelativeRotation,-105,1.5,2.5,0.0,-105.0
RelativeRotation,-104,1.5,2.5,0.0,-104.0
RelativeRotation,-103,1.5,2.5,0.0,-103.0
RelativeRotation,-102,1.5,2.5,0.0,-102.0
RelativeRotation,-101,1.5,2.5,0.0,-101.0
RelativeRotation,-100,1.5,2.5,0.0,-100.0
RelativeRotation,-099,1.5,2.5,0.0,-99.0
RelativeRotation,-098,1.5,2.5,0.0,-98.0
RelativeRotation,-097,1.5,2.5,0.0,-97.0
RelativeRotation,-096,1.5,2.5,0.0,-96.0
RelativeRotation,-095,1.5,2.5,0.0,-95.0
RelativeRotation,-094,1.5,2.5,0.0,-94.0
RelativeRotation,-093,1.5,2.5,0.0,-93.0
RelativeRotation,-092,1.5,2.5,0.0,-92.0
RelativeRotation,-091,1.5,2.5,0.0,-91.0
RelativeRotation,-090,1.5,2.5,0.5,-90.0
RelativeRotation,-089,1.5,2.5,0.0,-89.0
RelativeRotation,-088,1.5,2.5,0.0,-88.0
RelativeRotation,-087,1.5,2.5,0.0,-87.0
RelativeRotation,-086,1.5,2.5,0.0,-86.0
RelativeRotation,-085,1.5,2.5,0.0,-85.0
RelativeRotation,-084,1.5,2.5,0.0,-84.0
RelativeRotation,-083,1.5,2.5,0.0,-83.0
RelativeRotation,-082,1.5,2.5,0.0,-82.0
RelativeRotation,-081,1.5,2.5,0.0,-81.0
RelativeRotation,-080,1.5,1.5,0.5,-80.0
RelativeRotation,-079,1.5,2.5,0.0,-79.0
RelativeRotation,-078,1.5,2.5,0.0,-78.0
RelativeRotation,-077,0.75,1.0,0.0,-77.0
RelativeRotation,-076,1.5,2.5,0.0,-76.0
RelativeRotation,-075,1.2,1.5,0.0,-75.0
RelativeRotation,-074,1.5,2.5,0.0,-74.0
RelativeRotation,-073,1.5,2.5,0.0,-73.0
RelativeRotation,-072,1.5,2.5,0.0,-72.0
RelativeRotation,-071,1.5,2.5,0.0,-71.0
RelativeRotation,-070,1.2,1.5,0.0,-70.0
RelativeRotation,-069,1.5,2.5,0.0,-69.0
RelativeRotation,-068,1.5,2.5,0.0,-68.0
RelativeRotation,-067,1.5,2.5,0.0,-67.0
RelativeRotation,-066,1.5,2.5,0.0,-66.0
RelativeRotation,-065,1.5,2.5,0.5,-65.0
RelativeRotation,-064,1.5,2.5,0.0,-64.0
RelativeRotation,-063,1.5,2.5,0.0,-63.0
RelativeRotation,-062,1.5,2.5,0.0,-62.0
RelativeRotation,-061,1.5,2.5,0.0,-61.0
RelativeRotation,-060,1.5,2.5,0.5,-60.0
RelativeRotation,-059,1.5,2.5,0.0,-59.0
RelativeRotation,-058,1.5,2.5,0.0,-58.0
RelativeRotation,-057,1.5,2.5,0.0,-57.0
RelativeRotation,-056,1.5,2.5,0.0,-56.0
RelativeRotation,-055,1.2,2.5,0.0,-55.0
RelativeRotation,-054,1.5,2.5,0.0,-54.0
RelativeRotation,-053,1.5,2.5,0.0,-53.0
RelativeRotation,-052,1.5,2.5,0.0,-52.0
RelativeRotation,-051,1.5,2.5,0.0,-51.0
RelativeRotation,-050,1.5,5.0.,0.5,-50.0
RelativeRotation,-049,1.5,2.5,0.0,-49.0
RelativeRotation,-048,1.5,2.5,0.0,-48.0
RelativeRotation,-047,1.5,2.5,0.0,-47.0
RelativeRotation,-046,1.5,2.5,0.0,-46.0
RelativeRotation,-045,1.2,2.5,0.0,-45.0
RelativeRotation,-044,1.5,2.5,0.0,-44.0
RelativeRotation,-043,1.5,2.5,0.0,-43.0
RelativeRotation,-042,1.5,2.5,0.0,-42.0
RelativeRotation,-041,1.5,2.5,0.0,-41.0
RelativeRotation,-040,1.5,2.5,0.0,-40.0
RelativeRotation,-039,1.5,2.5,0.0,-39.0
RelativeRotation,-038,1.5,2.5.,0.0,-38.0
RelativeRotation,-037,1.5,2.5,0.0,-37.0
RelativeRotation,-036,1.5,2.5,0.0,-36.0
RelativeRotation,-035,1.5,2.5,0.0,-35.0
RelativeRotation,-034,1.5,2.5,0.0,-34.0
RelativeRotation,-033,1.5,2.5,0.0,-33.0
RelativeRotation,-032,1.5,2.5,0.0,-32.0
RelativeRotation,-031,1.5,2.5,0.0,-31.0
RelativeRotation,-030,1.2,2.5,0.0,-30.0
RelativeRotation,-029,1.5,2.5,0.0,-29.0
RelativeRotation,-028,1.5,2.5,0.0,-28.0
RelativeRotation,-027,1.5,2.5,0.0,-27.0
RelativeRotation,-026,1.5,2.5,0.0,-26.0
RelativeRotation,-025,1.5,3.0,0.0,-25.0
RelativeRotation,-024,1.5,2.5,0.0,-24.0
RelativeRotation,-023,1.5,2.5,0.0,-23.0
RelativeRotation,-022,1.5,2.5,0.0,-22.0
RelativeRotation,-021,1.5,2.5,0.0,-21.0
RelativeRotation,-020,1.5,2.5,0.0,-20.0
RelativeRotation,-019,1.5,2.5,0.0,-19.0
RelativeRotation,-018,1.5,2.5,0.0,-18.0
RelativeRotation,-017,1.5,2.5,0.0,-17.0
RelativeRotation,-016,1.5,2.5,0.0,-16.0
RelativeRotation,-015,1.5,2.5,0.0,-15.0
RelativeRotation,-014,1.5,2.5,0.0,-14.0
RelativeRotation,-013,1.5,2.5,0.0,-13.0
RelativeRotation,-012,1.5,2.5,0.0,-12.0
RelativeRotation,-011,1.5,2.5,0.0,-11.0
RelativeRotation,-010,1.5,2.5,0.0,-10.0
RelativeRotation,-009,1.5,2.5,0.0,-9.0
RelativeRotation,-008,1.5,2.5,0.0,-8.0
RelativeRotation,-007,1.5,2.5,0.0,-7.0
RelativeRotation,-006,1.5,2.5,0.0,-6.0
RelativeRotation,-005,1.5,2.5,0.0,-5.0
RelativeRotation,-004,1.5,2.5,0.0,-4.0
RelativeRotation,-003,1.5,2.5,0.0,-3.0
RelativeRotation,-002,1.5,2.5,0.0,-2.0
RelativeRotation,-001,1.5,2.5,0.0,-1.0
RelativeRotation,000,1.5,2.5,0.0,0.0
RelativeRotation,001,1.5,2.5,0.0,1.0
RelativeRotation,002,1.5,2.5,0.0,2.0
RelativeRotation,003,1.5,2.5,0.0,3.0
RelativeRotation,004,1.5,2.5,0.0,4.0
RelativeRotation,005,7.5,12.5,0.0,5.0
RelativeRotation,006,1.5,2.5,0.0,6.0
RelativeRotation,007,1.5,2.5,0.0,7.0
RelativeRotation,008,1.5,2.5,0.0,8.0
RelativeRotation,009,1.5,2.5,0.0,9.0
RelativeRotation,010,1.5,2.5,0.0,10.0
RelativeRotation,011,1.5,2.5,0.0,11.0
RelativeRotation,012,1.5,2.5,0.0,12.0
RelativeRotation,013,1.5,2.5,0.0,13.0
RelativeRotation,014,1.5,2.5,0.0,14.0
RelativeRotation,015,1.5,2.5,0.0,15.0
RelativeRotation,016,1.5,2.5,0.0,16.0
RelativeRotation,017,1.5,2.5,0.0,17.0
RelativeRotation,018,1.5,2.5,0.0,18.0
RelativeRotation,019,1.5,2.5,0.0,19.0
RelativeRotation,020,1.5,2.5,0.0,20.0
RelativeRotation,021,1.5,2.5,0.0,21.0
RelativeRotation,022,1.5,2.5,0.0,22.0
RelativeRotation,023,1.5,2.5,0.0,23.0
RelativeRotation,024,1.5,2.5,0.0,24.0
RelativeRotation,025,1.5,3.0,0.0,25.0
RelativeRotation,026,1.5,2.5,0.0,26.0
RelativeRotation,027,1.5,2.5,0.0,27.0
RelativeRotation,028,1.5,2.5,0.0,28.0
RelativeRotation,029,1.5,2.5,0.0,29.0
RelativeRotation,030,1.5,2.5,0.0,30.0
RelativeRotation,031,1.5,2.5,0.0,31.0
RelativeRotation,032,1.5,2.5,0.0,32.0
RelativeRotation,033,1.5,2.5,0.0,33.0
RelativeRotation,034,1.5,2.5,0.0,34.0
RelativeRotation,035,1.5,2.5,0.0,35.0
RelativeRotation,036,1.5,2.5,0.0,36.0
RelativeRotation,037,1.5,2.5,0.0,37.0
RelativeRotation,038,1.5,2.5,0.0,38.0
RelativeRotation,039,1.5,2.5,0.0,39.0
RelativeRotation,040,1.5,2.5,0.0,40.0
RelativeRotation,041,1.5,2.5,0.0,41.0
RelativeRotation,042,1.5,2.5,0.0,42.0
RelativeRotation,043,1.5,2.5,0.0,43.0
RelativeRotation,044,1.5,2.5,0.0,44.0
RelativeRotation,045,1.5,2.5,0.0,45.0
RelativeRotation,046,1.5,2.5,0.0,46.0
RelativeRotation,047,1.5,2.5,0.0,47.0
RelativeRotation,048,1.5,2.5,0.0,48.0
RelativeRotation,049,1.5,2.5,0.0,49.0
RelativeRotation,050,1.5,2.5,0.0,50.0
RelativeRotation,051,1.5,2.5,0.0,51.0
RelativeRotation,052,1.5,2.5,0.0,52.0
RelativeRotation,053,1.5,2.5,0.0,53.0
RelativeRotation,054,1.5,2.5,0.0,54.0
RelativeRotation,055,1.5,2.5,0.0,55.0
RelativeRotation,056,1.5,2.5,0.0,56.0
RelativeRotation,057,1.5,2.5,0.0,57.0
RelativeRotation,058,1.5,2.5,0.0,58.0
RelativeRotation,059,1.5,2.5,0.0,59.0
RelativeRotation,060,1.5,2.5,0.5,60.0
RelativeRotation,061,1.5,2.5,0.0,61.0
RelativeRotation,062,1.5,2.5,0.0,62.0
RelativeRotation,063,1.5,2.5,0.0,63.0
RelativeRotation,064,1.5,2.5,0.0,64.0
RelativeRotation,065,1.5,2.5,0.5,65.0
RelativeRotation,066,1.5,2.5,0.0,66.0
RelativeRotation,067,1.5,2.5,0.0,67.0
RelativeRotation,068,1.5,2.5,0.0,68.0
RelativeRotation,069,1.5,2.5,0.0,69.0
RelativeRotation,070,1.5,2.5,0.0,70.0
RelativeRotation,071,1.5,2.5,0.0,71.0
RelativeRotation,072,1.5,2.5,0.0,72.0
RelativeRotation,073,1.5,2.5,0.0,73.0
RelativeRotation,074,1.5,2.5,0.0,74.0
RelativeRotation,075,1.5,2.5,0.0,75.0
RelativeRotation,076,1.5,2.5,0.0,76.0
RelativeRotation,077,1.5,2.5,0.0,77.0
RelativeRotation,078,1.5,2.5,0.0,78.0
RelativeRotation,079,1.5,2.5,0.0,79.0
RelativeRotation,080,1.5,2.5,0.0,80.0
RelativeRotation,081,1.5,2.5,0.0,81.0
RelativeRotation,082,1.5,2.5,0.0,82.0
RelativeRotation,083,1.5,2.5,0.0,83.0
RelativeRotation,084,1.5,2.5,0.0,84.0
RelativeRotation,085,1.5,2.5,0.0,85.0
RelativeRotation,086,1.5,2.5,0.0,86.0
RelativeRotation,087,1.5,2.5,0.0,87.0
RelativeRotation,088,1.5,2.5,0.0,88.0
RelativeRotation,089,1.5,2.5,0.0,89.0
RelativeRotation,090,1.5,2.5,0.0,90.0
RelativeRotation,091,1.5,2.5,0.0,91.0
RelativeRotation,092,1.5,2.5,0.0,92.0
RelativeRotation,093,1.5,2.5,0.0,93.0
RelativeRotation,094,1.5,2.5,0.0,94.0
RelativeRotation,095,1.5,2.5,0.0,95.0
RelativeRotation,096,1.5,2.5,0.0,96.0
RelativeRotation,097,1.5,2.5,0.0,97.0
RelativeRotation,098,1.5,2.5,0.0,98.0
RelativeRotation,099,1.5,2.5,0.0,99.0
RelativeRotation,100,1.5,2.5,0.0,100.0
RelativeRotation,101,1.5,2.5,0.0,101.0
RelativeRotation,102,1.5,2.5,0.0,102.0
RelativeRotation,103,1.5,2.5,0.0,103.0
RelativeRotation,104,1.5,2.5,0.0,104.0
RelativeRotation,105,1.5,2.5,0.0,105.0
RelativeRotation,106,1.5,2.5,0.0,106.0
RelativeRotation,107,1.5,2.5,0.0,107.0
RelativeRotation,108,1.5,2.5,0.0,108.0
RelativeRotation,109,1.5,2.5,0.0,109.0
RelativeRotation,110,1.5,2.5,0.0,110.0
RelativeRotation,111,1.5,2.5,0.0,111.0
RelativeRotation,112,1.5,2.5,0.0,112.0
RelativeRotation,113,1.5,2.5,0.0,113.0
RelativeRotation,114,1.5,2.5,0.0,114.0
RelativeRotation,115,1.5,2.5,0.0,115.0
RelativeRotation,116,1.5,2.5,0.0,116.0
RelativeRotation,117,1.5,2.5,0.0,117.0
RelativeRotation,118,1.5,2.5,0.0,118.0
RelativeRotation,119,1.5,2.5,0.0,119.0
RelativeRotation,120,1.5,2.5,0.0,120.0
RelativeRotation,121,1.5,2.5,0.0,121.0
RelativeRotation,122,1.5,2.5,0.0,122.0
RelativeRotation,123,1.5,2.5,0.0,123.0
RelativeRotation,124,1.5,2.5,0.0,124.0
RelativeRotation,125,1.5,2.5,0.0,125.0
RelativeRotation,126,1.5,2.5,0.0,126.0
RelativeRotation,127,1.5,2.5,0.0,127.0
RelativeRotation,128,1.5,2.5,0.0,128.0
RelativeRotation,129,1.5,2.5,0.0,129.0
RelativeRotation,130,1.5,2.5,0.0,130.0
RelativeRotation,131,1.5,2.5,0.0,131.0
RelativeRotation,132,1.5,2.5,0.0,132.0
RelativeRotation,133,1.5,2.5,0.0,133.0
RelativeRotation,134,1.5,2.5,0.0,134.0
RelativeRotation,135,1.5,2.5,0.0,135.0
RelativeRotation,136,1.5,2.5,0.0,136.0
RelativeRotation,137,1.5,2.5,0.0,137.0
RelativeRotation,138,1.5,2.5,0.0,138.0
RelativeRotation,139,1.5,2.5,0.0,139.0
RelativeRotation,140,1.5,2.5,0.0,140.0
RelativeRotation,141,1.5,2.5,0.0,141.0
RelativeRotation,142,1.5,2.5,0.0,142.0
RelativeRotation,143,1.5,2.5,0.0,143.0
RelativeRotation,144,1.5,2.5,0.0,144.0
RelativeRotation,145,1.5,2.5,0.0,145.0
RelativeRotation,146,1.5,2.5,0.0,146.0
