コマンド名,ID,a_kp,a_ki,a_kd,targetAbsAngle
AbsoluteRotation,043,0.001,0.001,0.001,043
AbsoluteRotation,044,0.001,0.001,0.001,044
AbsoluteRotation,045,0.001,0.001,0.001,045
AbsoluteRotation,046,0.001,0.001,0.001,046
AbsoluteRotation,047,0.001,0.001,0.001,047
AbsoluteRotation,048,0.001,0.001,0.001,048
AbsoluteRotation,049,0.001,0.001,0.001,049
AbsoluteRotation,050,0.001,0.001,0.001,050
AbsoluteRotation,051,0.001,0.001,0.001,051
AbsoluteRotation,052,0.001,0.001,0.001,052
AbsoluteRotation,053,0.001,0.001,0.001,053
AbsoluteRotation,054,0.001,0.001,0.001,054
AbsoluteRotation,055,0.001,0.001,0.001,055
AbsoluteRotation,056,0.001,0.001,0.001,056
AbsoluteRotation,057,0.001,0.001,0.001,057
AbsoluteRotation,058,0.001,0.001,0.001,058
AbsoluteRotation,059,0.001,0.001,0.001,059
AbsoluteRotation,060,0.001,0.001,0.001,060
AbsoluteRotation,061,0.001,0.001,0.001,061
AbsoluteRotation,062,0.001,0.001,0.001,062
AbsoluteRotation,063,0.001,0.001,0.001,063
AbsoluteRotation,064,0.001,0.001,0.001,064
AbsoluteRotation,065,0.001,0.001,0.001,065
AbsoluteRotation,066,0.001,0.001,0.001,066
AbsoluteRotation,067,0.001,0.001,0.001,067
AbsoluteRotation,068,0.001,0.001,0.001,068
AbsoluteRotation,069,0.001,0.001,0.001,069
AbsoluteRotation,070,0.001,0.001,0.001,070
AbsoluteRotation,071,0.001,0.001,0.001,071
AbsoluteRotation,072,0.001,0.001,0.001,072
AbsoluteRotation,073,0.001,0.001,0.001,073
AbsoluteRotation,074,0.001,0.001,0.001,074
AbsoluteRotation,075,0.001,0.001,0.001,075
AbsoluteRotation,076,0.001,0.001,0.001,076
AbsoluteRotation,077,0.001,0.001,0.001,077
AbsoluteRotation,078,0.001,0.001,0.001,078
AbsoluteRotation,079,0.001,0.001,0.001,079
AbsoluteRotation,080,0.001,0.001,0.001,080
AbsoluteRotation,081,0.001,0.001,0.001,081
AbsoluteRotation,082,0.001,0.001,0.001,082
AbsoluteRotation,083,0.001,0.001,0.001,083
AbsoluteRotation,084,0.001,0.001,0.001,084
AbsoluteRotation,085,0.001,0.001,0.001,085
AbsoluteRotation,086,0.001,0.001,0.001,086
AbsoluteRotation,087,0.001,0.001,0.001,087
AbsoluteRotation,088,0.001,0.001,0.001,088
AbsoluteRotation,089,0.001,0.001,0.001,089
AbsoluteRotation,090,0.001,0.001,0.001,090
AbsoluteRotation,091,0.001,0.001,0.001,091
AbsoluteRotation,092,0.001,0.001,0.001,092
AbsoluteRotation,093,0.001,0.001,0.001,093
AbsoluteRotation,094,0.001,0.001,0.001,094
AbsoluteRotation,095,0.001,0.001,0.001,095
AbsoluteRotation,096,0.001,0.001,0.001,096
AbsoluteRotation,097,0.001,0.001,0.001,097
AbsoluteRotation,098,0.001,0.001,0.001,098
AbsoluteRotation,099,0.001,0.001,0.001,099
AbsoluteRotation,100,0.001,0.001,0.001,100
AbsoluteRotation,101,0.001,0.001,0.001,101
AbsoluteRotation,102,0.001,0.001,0.001,102
AbsoluteRotation,103,0.001,0.001,0.001,103
AbsoluteRotation,104,0.001,0.001,0.001,104
AbsoluteRotation,105,0.001,0.001,0.001,105
AbsoluteRotation,106,0.001,0.001,0.001,106
AbsoluteRotation,107,0.001,0.001,0.001,107
AbsoluteRotation,108,0.001,0.001,0.001,108
AbsoluteRotation,109,0.001,0.001,0.001,109
AbsoluteRotation,110,0.001,0.001,0.001,110
AbsoluteRotation,111,0.001,0.001,0.001,111
AbsoluteRotation,112,0.001,0.001,0.001,112
AbsoluteRotation,113,0.001,0.001,0.001,113
AbsoluteRotation,114,0.001,0.001,0.001,114
AbsoluteRotation,115,0.001,0.001,0.001,115
AbsoluteRotation,116,0.001,0.001,0.001,116
AbsoluteRotation,117,0.001,0.001,0.001,117
AbsoluteRotation,118,0.001,0.001,0.001,118
AbsoluteRotation,119,0.001,0.001,0.001,119
AbsoluteRotation,120,0.001,0.001,0.001,120
AbsoluteRotation,121,0.001,0.001,0.001,121
AbsoluteRotation,122,0.001,0.001,0.001,122
AbsoluteRotation,123,0.001,0.001,0.001,123
AbsoluteRotation,124,0.001,0.001,0.001,124
AbsoluteRotation,125,0.001,0.001,0.001,125
AbsoluteRotation,126,0.001,0.001,0.001,126
AbsoluteRotation,127,0.001,0.001,0.001,127
AbsoluteRotation,128,0.001,0.001,0.001,128
AbsoluteRotation,129,0.001,0.001,0.001,129
AbsoluteRotation,130,0.001,0.001,0.001,130
AbsoluteRotation,131,0.001,0.001,0.001,131
AbsoluteRotation,132,0.001,0.001,0.001,132
AbsoluteRotation,133,0.001,0.001,0.001,133
AbsoluteRotation,134,0.001,0.001,0.001,134
AbsoluteRotation,135,0.001,0.001,0.001,135
AbsoluteRotation,136,0.001,0.001,0.001,136
AbsoluteRotation,137,0.001,0.001,0.001,137
AbsoluteRotation,138,0.001,0.001,0.001,138
AbsoluteRotation,139,0.001,0.001,0.001,139
AbsoluteRotation,140,0.001,0.001,0.001,140
AbsoluteRotation,141,0.001,0.001,0.001,141
AbsoluteRotation,142,0.001,0.001,0.001,142
AbsoluteRotation,143,0.001,0.001,0.001,143
AbsoluteRotation,144,0.001,0.001,0.001,144
AbsoluteRotation,145,0.001,0.001,0.001,145
AbsoluteRotation,146,0.001,0.001,0.001,146
AbsoluteRotation,147,0.001,0.001,0.001,147
AbsoluteRotation,148,0.001,0.001,0.001,148
AbsoluteRotation,149,0.001,0.001,0.001,149
AbsoluteRotation,150,0.001,0.001,0.001,150
AbsoluteRotation,151,0.001,0.001,0.001,151
AbsoluteRotation,152,0.001,0.001,0.001,152
AbsoluteRotation,153,0.001,0.001,0.001,153
AbsoluteRotation,154,0.001,0.001,0.001,154
AbsoluteRotation,155,0.001,0.001,0.001,155
AbsoluteRotation,156,0.001,0.001,0.001,156
AbsoluteRotation,157,0.001,0.001,0.001,157
AbsoluteRotation,158,0.001,0.001,0.001,158
AbsoluteRotation,159,0.001,0.001,0.001,159
AbsoluteRotation,160,0.001,0.001,0.001,160
AbsoluteRotation,161,0.001,0.001,0.001,161
AbsoluteRotation,162,0.001,0.001,0.001,162
AbsoluteRotation,163,0.001,0.001,0.001,163
AbsoluteRotation,164,0.001,0.001,0.001,164
AbsoluteRotation,165,0.001,0.001,0.001,165
AbsoluteRotation,166,0.001,0.001,0.001,166
AbsoluteRotation,167,0.001,0.001,0.001,167
AbsoluteRotation,168,0.001,0.001,0.001,168
AbsoluteRotation,169,0.001,0.001,0.001,169
AbsoluteRotation,170,0.001,0.001,0.001,170
AbsoluteRotation,171,0.001,0.001,0.001,171
AbsoluteRotation,172,0.001,0.001,0.001,172
AbsoluteRotation,173,0.001,0.001,0.001,173
AbsoluteRotation,174,0.001,0.001,0.001,174
AbsoluteRotation,175,0.001,0.001,0.001,175
AbsoluteRotation,176,0.001,0.001,0.001,176
AbsoluteRotation,177,0.001,0.001,0.001,177
AbsoluteRotation,178,0.001,0.001,0.001,178
AbsoluteRotation,179,0.001,0.001,0.001,179
AbsoluteRotation,180,0.001,0.001,0.001,180
AbsoluteRotation,181,0.001,0.001,0.001,181
AbsoluteRotation,182,0.001,0.001,0.001,182
AbsoluteRotation,183,0.001,0.001,0.001,183
AbsoluteRotation,184,0.001,0.001,0.001,184
AbsoluteRotation,185,0.001,0.001,0.001,185
AbsoluteRotation,186,0.001,0.001,0.001,186
AbsoluteRotation,187,0.001,0.001,0.001,187
AbsoluteRotation,188,0.001,0.001,0.001,188
AbsoluteRotation,189,0.001,0.001,0.001,189
AbsoluteRotation,190,0.001,0.001,0.001,190
AbsoluteRotation,191,0.001,0.001,0.001,191
AbsoluteRotation,192,0.001,0.001,0.001,192
AbsoluteRotation,193,0.001,0.001,0.001,193
AbsoluteRotation,194,0.001,0.001,0.001,194
AbsoluteRotation,195,0.001,0.001,0.001,195
AbsoluteRotation,196,0.001,0.001,0.001,196
AbsoluteRotation,197,0.001,0.001,0.001,197
AbsoluteRotation,198,0.001,0.001,0.001,198
AbsoluteRotation,199,0.001,0.001,0.001,199
AbsoluteRotation,200,0.001,0.001,0.001,200
AbsoluteRotation,201,0.001,0.001,0.001,201
AbsoluteRotation,202,0.001,0.001,0.001,202
AbsoluteRotation,203,0.001,0.001,0.001,203
AbsoluteRotation,204,0.001,0.001,0.001,204
AbsoluteRotation,205,0.001,0.001,0.001,205
AbsoluteRotation,206,0.001,0.001,0.001,206
AbsoluteRotation,207,0.001,0.001,0.001,207
AbsoluteRotation,208,0.001,0.001,0.001,208
AbsoluteRotation,209,0.001,0.001,0.001,209
AbsoluteRotation,210,0.001,0.001,0.001,210
AbsoluteRotation,211,0.001,0.001,0.001,211
AbsoluteRotation,212,0.001,0.001,0.001,212
AbsoluteRotation,213,0.001,0.001,0.001,213
AbsoluteRotation,214,0.001,0.001,0.001,214
AbsoluteRotation,215,0.001,0.001,0.001,215
AbsoluteRotation,216,0.001,0.001,0.001,216
AbsoluteRotation,217,0.001,0.001,0.001,217
AbsoluteRotation,218,0.001,0.001,0.001,218
AbsoluteRotation,219,0.001,0.001,0.001,219
AbsoluteRotation,220,0.001,0.001,0.001,220
AbsoluteRotation,221,0.001,0.001,0.001,221
AbsoluteRotation,222,0.001,0.001,0.001,222
AbsoluteRotation,223,0.001,0.001,0.001,223
AbsoluteRotation,224,0.001,0.001,0.001,224
AbsoluteRotation,225,0.001,0.001,0.001,225
AbsoluteRotation,226,0.001,0.001,0.001,226
AbsoluteRotation,227,0.001,0.001,0.001,227
AbsoluteRotation,228,0.001,0.001,0.001,228
AbsoluteRotation,229,0.001,0.001,0.001,229
AbsoluteRotation,230,0.001,0.001,0.001,230
AbsoluteRotation,231,0.001,0.001,0.001,231
AbsoluteRotation,232,0.001,0.001,0.001,232
AbsoluteRotation,233,0.001,0.001,0.001,233
AbsoluteRotation,234,0.001,0.001,0.001,234
AbsoluteRotation,235,0.001,0.001,0.001,235
AbsoluteRotation,236,0.001,0.001,0.001,236
AbsoluteRotation,237,0.001,0.001,0.001,237
AbsoluteRotation,238,0.001,0.001,0.001,238
AbsoluteRotation,239,0.001,0.001,0.001,239
AbsoluteRotation,240,0.001,0.001,0.001,240
AbsoluteRotation,241,0.001,0.001,0.001,241
AbsoluteRotation,242,0.001,0.001,0.001,242
AbsoluteRotation,243,0.001,0.001,0.001,243
AbsoluteRotation,244,0.001,0.001,0.001,244
AbsoluteRotation,245,0.001,0.001,0.001,245
AbsoluteRotation,246,0.001,0.001,0.001,246
AbsoluteRotation,247,0.001,0.001,0.001,247
AbsoluteRotation,248,0.001,0.001,0.001,248
AbsoluteRotation,249,0.001,0.001,0.001,249
AbsoluteRotation,250,0.001,0.001,0.001,250
AbsoluteRotation,251,0.001,0.001,0.001,251
AbsoluteRotation,252,0.001,0.001,0.001,252
AbsoluteRotation,253,0.001,0.001,0.001,253
AbsoluteRotation,254,0.001,0.001,0.001,254
AbsoluteRotation,255,0.001,0.001,0.001,255
AbsoluteRotation,256,0.001,0.001,0.001,256
AbsoluteRotation,257,0.001,0.001,0.001,257
AbsoluteRotation,258,0.001,0.001,0.001,258
AbsoluteRotation,259,0.001,0.001,0.001,259
AbsoluteRotation,260,0.001,0.001,0.001,260
AbsoluteRotation,261,0.001,0.001,0.001,261
AbsoluteRotation,262,0.001,0.001,0.001,262
AbsoluteRotation,263,0.001,0.001,0.001,263
AbsoluteRotation,264,0.001,0.001,0.001,264
AbsoluteRotation,265,0.001,0.001,0.001,265
AbsoluteRotation,266,0.001,0.001,0.001,266
AbsoluteRotation,267,0.001,0.001,0.001,267
AbsoluteRotation,268,0.001,0.001,0.001,268
AbsoluteRotation,269,0.001,0.001,0.001,269
AbsoluteRotation,270,0.001,0.001,0.001,270
AbsoluteRotation,271,0.001,0.001,0.001,271
AbsoluteRotation,272,0.001,0.001,0.001,272
AbsoluteRotation,273,0.001,0.001,0.001,273
AbsoluteRotation,274,0.001,0.001,0.001,274
AbsoluteRotation,275,0.001,0.001,0.001,275
AbsoluteRotation,276,0.001,0.001,0.001,276
AbsoluteRotation,277,0.001,0.001,0.001,277
AbsoluteRotation,278,0.001,0.001,0.001,278
AbsoluteRotation,279,0.001,0.001,0.001,279
AbsoluteRotation,280,0.001,0.001,0.001,280
AbsoluteRotation,281,0.001,0.001,0.001,281
AbsoluteRotation,282,0.001,0.001,0.001,282
AbsoluteRotation,283,0.001,0.001,0.001,283
AbsoluteRotation,284,0.001,0.001,0.001,284
AbsoluteRotation,285,0.001,0.001,0.001,285
AbsoluteRotation,286,0.001,0.001,0.001,286
AbsoluteRotation,287,0.001,0.001,0.001,287
AbsoluteRotation,288,0.001,0.001,0.001,288
AbsoluteRotation,289,0.001,0.001,0.001,289
AbsoluteRotation,290,0.001,0.001,0.001,290
AbsoluteRotation,291,0.001,0.001,0.001,291
AbsoluteRotation,292,0.001,0.001,0.001,292
AbsoluteRotation,293,0.001,0.001,0.001,293
AbsoluteRotation,294,0.001,0.001,0.001,294
AbsoluteRotation,295,0.001,0.001,0.001,295
AbsoluteRotation,296,0.001,0.001,0.001,296
AbsoluteRotation,297,0.001,0.001,0.001,297
AbsoluteRotation,298,0.001,0.001,0.001,298
AbsoluteRotation,299,0.001,0.001,0.001,299
AbsoluteRotation,300,0.001,0.001,0.001,300
AbsoluteRotation,301,0.001,0.001,0.001,301
AbsoluteRotation,302,0.001,0.001,0.001,302
AbsoluteRotation,303,0.001,0.001,0.001,303
AbsoluteRotation,304,0.001,0.001,0.001,304
AbsoluteRotation,305,0.001,0.001,0.001,305
AbsoluteRotation,306,0.001,0.001,0.001,306
AbsoluteRotation,307,0.001,0.001,0.001,307
AbsoluteRotation,308,0.001,0.001,0.001,308
AbsoluteRotation,309,0.001,0.001,0.001,309
AbsoluteRotation,310,0.001,0.001,0.001,310
AbsoluteRotation,311,0.001,0.001,0.001,311
AbsoluteRotation,312,0.001,0.001,0.001,312
AbsoluteRotation,313,0.001,0.001,0.001,313
AbsoluteRotation,314,0.001,0.001,0.001,314
AbsoluteRotation,315,0.001,0.001,0.001,315
AbsoluteRotation,316,0.001,0.001,0.001,316
AbsoluteRotation,317,0.001,0.001,0.001,317
AbsoluteRotation,318,0.001,0.001,0.001,318
AbsoluteRotation,319,0.001,0.001,0.001,319
AbsoluteRotation,320,0.001,0.001,0.001,320
AbsoluteRotation,321,0.001,0.001,0.001,321
AbsoluteRotation,322,0.001,0.001,0.001,322
AbsoluteRotation,323,0.001,0.001,0.001,323
AbsoluteRotation,324,0.001,0.001,0.001,324
AbsoluteRotation,325,0.001,0.001,0.001,325
AbsoluteRotation,326,0.001,0.001,0.001,326
AbsoluteRotation,327,0.001,0.001,0.001,327
AbsoluteRotation,328,0.001,0.001,0.001,328
AbsoluteRotation,329,0.001,0.001,0.001,329
AbsoluteRotation,330,0.001,0.001,0.001,330
AbsoluteRotation,331,0.001,0.001,0.001,331
AbsoluteRotation,332,0.001,0.001,0.001,332
AbsoluteRotation,333,0.001,0.001,0.001,333
AbsoluteRotation,334,0.001,0.001,0.001,334
AbsoluteRotation,335,0.001,0.001,0.001,335
AbsoluteRotation,336,0.001,0.001,0.001,336
AbsoluteRotation,337,0.001,0.001,0.001,337
AbsoluteRotation,338,0.001,0.001,0.001,338
AbsoluteRotation,339,0.001,0.001,0.001,339
AbsoluteRotation,340,0.001,0.001,0.001,340
AbsoluteRotation,341,0.001,0.001,0.001,341
AbsoluteRotation,342,0.001,0.001,0.001,342
AbsoluteRotation,343,0.001,0.001,0.001,343
AbsoluteRotation,344,0.001,0.001,0.001,344
AbsoluteRotation,345,0.001,0.001,0.001,345
AbsoluteRotation,346,0.001,0.001,0.001,346
AbsoluteRotation,347,0.001,0.001,0.001,347
AbsoluteRotation,348,0.001,0.001,0.001,348
AbsoluteRotation,349,0.001,0.001,0.001,349
AbsoluteRotation,350,0.001,0.001,0.001,350
AbsoluteRotation,351,0.001,0.001,0.001,351
AbsoluteRotation,352,0.001,0.001,0.001,352
AbsoluteRotation,353,0.001,0.001,0.001,353
AbsoluteRotation,354,0.001,0.001,0.001,354
AbsoluteRotation,355,0.001,0.001,0.001,355
AbsoluteRotation,356,0.001,0.001,0.001,356
AbsoluteRotation,357,0.001,0.001,0.001,357
AbsoluteRotation,358,0.001,0.001,0.001,358
AbsoluteRotation,359,0.001,0.001,0.001,359
AbsoluteRotation,360,0.001,0.001,0.001,360
AbsoluteRotation,-001,0.001,0.001,0.001,-001
AbsoluteRotation,-002,0.001,0.001,0.001,-002
AbsoluteRotation,-003,0.001,0.001,0.001,-003
AbsoluteRotation,-004,0.001,0.001,0.001,-004
AbsoluteRotation,-005,0.001,0.001,0.001,-005
AbsoluteRotation,-006,0.001,0.001,0.001,-006
AbsoluteRotation,-007,0.001,0.001,0.001,-007
AbsoluteRotation,-008,0.001,0.001,0.001,-008
AbsoluteRotation,-009,0.001,0.001,0.001,-009
AbsoluteRotation,-010,0.001,0.001,0.001,-010
AbsoluteRotation,-011,0.001,0.001,0.001,-011
AbsoluteRotation,-012,0.001,0.001,0.001,-012
AbsoluteRotation,-013,0.001,0.001,0.001,-013
AbsoluteRotation,-014,0.001,0.001,0.001,-014
AbsoluteRotation,-015,0.001,0.001,0.001,-015
AbsoluteRotation,-016,0.001,0.001,0.001,-016
AbsoluteRotation,-017,0.001,0.001,0.001,-017
AbsoluteRotation,-018,0.001,0.001,0.001,-018
AbsoluteRotation,-019,0.001,0.001,0.001,-019
AbsoluteRotation,-020,0.001,0.001,0.001,-020
AbsoluteRotation,-021,0.001,0.001,0.001,-021
AbsoluteRotation,-022,0.001,0.001,0.001,-022
AbsoluteRotation,-023,0.001,0.001,0.001,-023
AbsoluteRotation,-024,0.001,0.001,0.001,-024
AbsoluteRotation,-025,0.001,0.001,0.001,-025
AbsoluteRotation,-026,0.001,0.001,0.001,-026
AbsoluteRotation,-027,0.001,0.001,0.001,-027
AbsoluteRotation,-028,0.001,0.001,0.001,-028
AbsoluteRotation,-029,0.001,0.001,0.001,-029
AbsoluteRotation,-030,0.001,0.001,0.001,-030
AbsoluteRotation,-031,0.001,0.001,0.001,-031
AbsoluteRotation,-032,0.001,0.001,0.001,-032
AbsoluteRotation,-033,0.001,0.001,0.001,-033
AbsoluteRotation,-034,0.001,0.001,0.001,-034
AbsoluteRotation,-035,0.001,0.001,0.001,-035
AbsoluteRotation,-036,0.001,0.001,0.001,-036
AbsoluteRotation,-037,0.001,0.001,0.001,-037
AbsoluteRotation,-038,0.001,0.001,0.001,-038
AbsoluteRotation,-039,0.001,0.001,0.001,-039
AbsoluteRotation,-040,0.001,0.001,0.001,-040
AbsoluteRotation,-041,0.001,0.001,0.001,-041
AbsoluteRotation,-042,0.001,0.001,0.001,-042
AbsoluteRotation,-043,0.001,0.001,0.001,-043
AbsoluteRotation,-044,0.001,0.001,0.001,-044
AbsoluteRotation,-045,0.001,0.001,0.001,-045
AbsoluteRotation,-046,0.001,0.001,0.001,-046
AbsoluteRotation,-047,0.001,0.001,0.001,-047
AbsoluteRotation,-048,0.001,0.001,0.001,-048
AbsoluteRotation,-049,0.001,0.001,0.001,-049
AbsoluteRotation,-050,0.001,0.001,0.001,-050
AbsoluteRotation,-051,0.001,0.001,0.001,-051
AbsoluteRotation,-052,0.001,0.001,0.001,-052
AbsoluteRotation,-053,0.001,0.001,0.001,-053
AbsoluteRotation,-054,0.001,0.001,0.001,-054
AbsoluteRotation,-055,0.001,0.001,0.001,-055
AbsoluteRotation,-056,0.001,0.001,0.001,-056
AbsoluteRotation,-057,0.001,0.001,0.001,-057
AbsoluteRotation,-058,0.001,0.001,0.001,-058
AbsoluteRotation,-059,0.001,0.001,0.001,-059
AbsoluteRotation,-060,0.001,0.001,0.001,-060
AbsoluteRotation,-061,0.001,0.001,0.001,-061
AbsoluteRotation,-062,0.001,0.001,0.001,-062
AbsoluteRotation,-063,0.001,0.001,0.001,-063
AbsoluteRotation,-064,0.001,0.001,0.001,-064
AbsoluteRotation,-065,0.001,0.001,0.001,-065
AbsoluteRotation,-066,0.001,0.001,0.001,-066
AbsoluteRotation,-067,0.001,0.001,0.001,-067
AbsoluteRotation,-068,0.001,0.001,0.001,-068
AbsoluteRotation,-069,0.001,0.001,0.001,-069
AbsoluteRotation,-070,0.001,0.001,0.001,-070
AbsoluteRotation,-071,0.001,0.001,0.001,-071
AbsoluteRotation,-072,0.001,0.001,0.001,-072
AbsoluteRotation,-073,0.001,0.001,0.001,-073
AbsoluteRotation,-074,0.001,0.001,0.001,-074
AbsoluteRotation,-075,0.001,0.001,0.001,-075
AbsoluteRotation,-076,0.001,0.001,0.001,-076
AbsoluteRotation,-077,0.001,0.001,0.001,-077
AbsoluteRotation,-078,0.001,0.001,0.001,-078
AbsoluteRotation,-079,0.001,0.001,0.001,-079
AbsoluteRotation,-080,0.001,0.001,0.001,-080
AbsoluteRotation,-081,0.001,0.001,0.001,-081
AbsoluteRotation,-082,0.001,0.001,0.001,-082
AbsoluteRotation,-083,0.001,0.001,0.001,-083
AbsoluteRotation,-084,0.001,0.001,0.001,-084
AbsoluteRotation,-085,0.001,0.001,0.001,-085
AbsoluteRotation,-086,0.001,0.001,0.001,-086
AbsoluteRotation,-087,0.001,0.001,0.001,-087
AbsoluteRotation,-088,0.001,0.001,0.001,-088
AbsoluteRotation,-089,0.001,0.001,0.001,-089
AbsoluteRotation,-090,0.001,0.001,0.001,-090
AbsoluteRotation,-091,0.001,0.001,0.001,-091
AbsoluteRotation,-092,0.001,0.001,0.001,-092
AbsoluteRotation,-093,0.001,0.001,0.001,-093
AbsoluteRotation,-094,0.001,0.001,0.001,-094
AbsoluteRotation,-095,0.001,0.001,0.001,-095
AbsoluteRotation,-096,0.001,0.001,0.001,-096
AbsoluteRotation,-097,0.001,0.001,0.001,-097
AbsoluteRotation,-098,0.001,0.001,0.001,-098
AbsoluteRotation,-099,0.001,0.001,0.001,-099
AbsoluteRotation,-100,0.001,0.001,0.001,-100
AbsoluteRotation,-101,0.001,0.001,0.001,-101
AbsoluteRotation,-102,0.001,0.001,0.001,-102
AbsoluteRotation,-103,0.001,0.001,0.001,-103
AbsoluteRotation,-104,0.001,0.001,0.001,-104
AbsoluteRotation,-105,0.001,0.001,0.001,-105
AbsoluteRotation,-106,0.001,0.001,0.001,-106
AbsoluteRotation,-107,0.001,0.001,0.001,-107
AbsoluteRotation,-108,0.001,0.001,0.001,-108
AbsoluteRotation,-109,0.001,0.001,0.001,-109
AbsoluteRotation,-110,0.001,0.001,0.001,-110
AbsoluteRotation,-111,0.001,0.001,0.001,-111
AbsoluteRotation,-112,0.001,0.001,0.001,-112
AbsoluteRotation,-113,0.001,0.001,0.001,-113
AbsoluteRotation,-114,0.001,0.001,0.001,-114
AbsoluteRotation,-115,0.001,0.001,0.001,-115
AbsoluteRotation,-116,0.001,0.001,0.001,-116
AbsoluteRotation,-117,0.001,0.001,0.001,-117
AbsoluteRotation,-118,0.001,0.001,0.001,-118
AbsoluteRotation,-119,0.001,0.001,0.001,-119
AbsoluteRotation,-120,0.001,0.001,0.001,-120
AbsoluteRotation,-121,0.001,0.001,0.001,-121
AbsoluteRotation,-122,0.001,0.001,0.001,-122
AbsoluteRotation,-123,0.001,0.001,0.001,-123
AbsoluteRotation,-124,0.001,0.001,0.001,-124
AbsoluteRotation,-125,0.001,0.001,0.001,-125
AbsoluteRotation,-126,0.001,0.001,0.001,-126
AbsoluteRotation,-127,0.001,0.001,0.001,-127
AbsoluteRotation,-128,0.001,0.001,0.001,-128
AbsoluteRotation,-129,0.001,0.001,0.001,-129
AbsoluteRotation,-130,0.001,0.001,0.001,-130
AbsoluteRotation,-131,0.001,0.001,0.001,-131
AbsoluteRotation,-132,0.001,0.001,0.001,-132
AbsoluteRotation,-133,0.001,0.001,0.001,-133
AbsoluteRotation,-134,0.001,0.001,0.001,-134
AbsoluteRotation,-135,0.001,0.001,0.001,-135
AbsoluteRotation,-136,0.001,0.001,0.001,-136
AbsoluteRotation,-137,0.001,0.001,0.001,-137
AbsoluteRotation,-138,0.001,0.001,0.001,-138
AbsoluteRotation,-139,0.001,0.001,0.001,-139
AbsoluteRotation,-140,0.001,0.001,0.001,-140
AbsoluteRotation,-141,0.001,0.001,0.001,-141
AbsoluteRotation,-142,0.001,0.001,0.001,-142
AbsoluteRotation,-143,0.001,0.001,0.001,-143
AbsoluteRotation,-144,0.001,0.001,0.001,-144
AbsoluteRotation,-145,0.001,0.001,0.001,-145
AbsoluteRotation,-146,0.001,0.001,0.001,-146
AbsoluteRotation,-147,0.001,0.001,0.001,-147
AbsoluteRotation,-148,0.001,0.001,0.001,-148
AbsoluteRotation,-149,0.001,0.001,0.001,-149
AbsoluteRotation,-150,0.001,0.001,0.001,-150
AbsoluteRotation,-151,0.001,0.001,0.001,-151
AbsoluteRotation,-152,0.001,0.001,0.001,-152
AbsoluteRotation,-153,0.001,0.001,0.001,-153
AbsoluteRotation,-154,0.001,0.001,0.001,-154
AbsoluteRotation,-155,0.001,0.001,0.001,-155
AbsoluteRotation,-156,0.001,0.001,0.001,-156
AbsoluteRotation,-157,0.001,0.001,0.001,-157
AbsoluteRotation,-158,0.001,0.001,0.001,-158
AbsoluteRotation,-159,0.001,0.001,0.001,-159
AbsoluteRotation,-160,0.001,0.001,0.001,-160
AbsoluteRotation,-161,0.001,0.001,0.001,-161
AbsoluteRotation,-162,0.001,0.001,0.001,-162
